TANGGAL,QTY,YEAR,MONTH,DAY,DAYOFWEEK,DAYOFYEAR,WEEKOFYEAR,QUARTER,IS_MONTH_START,IS_MONTH_END,MONTH_SIN,MONTH_COS,DOW_SIN,DOW_COS,LAG_1,LAG_2,LAG_3,LAG_7,LAG_14,LAG_28,ROLLING_MEAN_3,ROLLING_STD_3,ROLLING_MEAN_7,ROLLING_STD_7,ROLLING_MEAN_14,ROLLING_STD_14,EXPANDING_MEAN,EXPANDING_STD,KATEGORI_AIR MINERAL,KATEGORI_MINUMAN TEH,KATEGORI_ROKOK,KATEGORI_SUSU,IS_HOLIDAY,DAYS_TO_NEXT_HOLIDAY,DAYS_SINCE_LAST_HOLIDAY,IS_BEFORE_HOLIDAY_3D,IS_AFTER_HOLIDAY_3D,IS_NEAR_HOLIDAY_3D
2025-12-13,348,2025,12,13,5,347,50,4,0,0,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146,306.0,425.0,407.0,432.0,169.0,395.0,379.3333333333333,64.14306925407713,326.7142857142857,145.3761950775924,306.35714285714283,117.25226397214452,411.19457013574663,188.4531210584289,1,0,0,0,0,12,30,0,0,0
2025-12-14,311,2025,12,14,6,348,50,4,0,0,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,348.0,306.0,425.0,95.0,412.0,464.0,359.6666666666667,60.35174672976201,314.7142857142857,138.5432715624913,319.14285714285717,110.69838240973496,411.05191873589166,188.26376152802524,1,0,0,0,0,11,30,0,0,0
2025-12-15,379,2025,12,15,0,349,51,4,0,0,-2.4492935982947064e-16,1.0,0.0,1.0,311.0,348.0,306.0,161.0,388.0,213.0,321.6666666666667,22.941955743426682,345.57142857142856,100.1995627782501,311.92857142857144,107.42400840788635,410.8265765765766,188.1110908413132,1,0,0,0,0,10,30,0,0,0
2025-12-18,533,2025,12,18,3,352,51,4,0,0,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419,379.0,311.0,348.0,461.0,246.0,208.0,346.0,34.04408906109855,376.7142857142857,58.454296351122444,311.2857142857143,106.95968224697417,410.7550561797753,187.90519162217592,1,0,0,0,0,7,30,0,0,0
2025-12-19,275,2025,12,19,4,353,51,4,0,0,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191,533.0,379.0,311.0,407.0,220.0,239.0,407.6666666666667,113.74239901344322,387.0,78.61509609059453,331.7857142857143,120.1717863799914,411.0291479820628,187.7831801413309,1,0,0,0,0,6,30,0,0,0
2025-12-20,154,2025,12,20,5,354,51,4,0,0,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146,275.0,533.0,379.0,425.0,274.0,254.0,395.6666666666667,129.80498192801898,368.14285714285717,88.25800921432727,335.7142857142857,117.09590321377856,410.7248322147651,187.682856452564,1,0,0,0,0,5,30,0,0,0
2025-12-21,320,2025,12,21,6,355,51,4,0,0,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,154.0,275.0,533.0,306.0,293.0,263.0,320.6666666666667,193.58288491840736,329.42857142857144,114.651438634465,327.14285714285717,126.0133430925578,410.1517857142857,187.86475738188713,1,0,0,0,0,4,30,0,0,0
2025-12-22,469,2025,12,22,0,356,52,4,0,0,-2.4492935982947064e-16,1.0,0.0,1.0,320.0,154.0,275.0,348.0,432.0,294.0,249.66666666666666,85.85064550330048,331.42857142857144,114.29618999607625,329.07142857142856,125.65671446488619,409.9510022271715,187.7031930077055,1,0,0,0,0,3,30,1,0,1
2024-02-10,302,2024,2,10,5,41,6,1,0,0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,292.0,208.0,355.0,268.0,236.0,112.0,285.0,73.74957626996913,272.42857142857144,56.57106781991764,256.2142857142857,59.693033444098305,243.57142857142858,73.65506624169706,0,1,0,0,1,0,0,0,0,1
2024-02-13,185,2024,2,13,1,44,7,1,0,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,302.0,292.0,208.0,191.0,314.0,153.0,267.3333333333333,51.62686639079821,277.2857142857143,57.57810430396352,260.92857142857144,60.57349545509446,245.58620689655172,73.13711059245372,0,1,0,0,0,27,3,0,1,1
2024-02-14,242,2024,2,14,2,45,7,1,0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,185.0,302.0,292.0,292.0,157.0,146.0,259.6666666666667,64.85625130496929,276.42857142857144,59.10120456430975,251.71428571428572,61.68085174936764,243.56666666666666,72.71137241285518,0,1,0,0,0,26,4,0,0,0
2024-02-15,159,2024,2,15,3,46,7,1,0,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,242.0,185.0,302.0,301.0,177.0,181.0,243.0,58.506409905240275,269.2857142857143,59.9213770583707,257.7857142857143,55.516010956547206,243.51612903225808,71.48979925730286,0,1,0,0,0,25,5,0,0,0
2024-02-16,257,2024,2,16,4,47,7,1,0,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,159.0,242.0,185.0,355.0,324.0,184.0,195.33333333333334,42.453896562428,249.0,70.49822692805829,256.5,57.6964870281078,240.875,71.89676739110266,0,1,0,0,0,24,6,0,0,0
2024-02-17,354,2024,2,17,5,48,7,1,0,0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,257.0,159.0,242.0,208.0,237.0,218.0,219.33333333333334,52.785730394997216,235.0,53.65941980056563,251.71428571428572,54.34848886361274,241.36363636363637,70.82011463111053,0,1,0,0,0,23,7,0,0,0
2024-02-20,232,2024,2,20,1,51,8,1,0,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,354.0,257.0,159.0,292.0,235.0,212.0,256.6666666666667,97.50042734949078,255.85714285714286,67.90048740971007,260.07142857142856,60.55317343613636,244.6764705882353,72.36469949236519,0,1,0,0,0,20,10,0,0,0
2024-02-21,196,2024,2,21,2,52,8,1,0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,232.0,354.0,257.0,302.0,268.0,267.0,281.0,64.44377394287206,247.28571428571428,66.34685193665759,259.85714285714283,60.65394545205692,244.31428571428572,71.32476322245657,0,1,0,0,0,19,11,0,0,0
